personal_id,vaccine_intention_jan,vaccine_intention_jul,p_2m_infected,p_2m_acquaintance_infected,p_2m_hospital_if_infect_self,p_2m_infected_and_pass_on,nervous_month,depressed_month,calm_month,gloomy_month,happy_month,covid_health_concern,covid_vaccine_effective,covid_vaccine_safe,covid_test_comply,work_status_social assistance,work_status_employed,work_status_retired,work_status_student or trainee,work_status_unemployed,infection_diagnosed_no,infection_diagnosed_unsure,support_current_measures,support_possible_measures,work_status_employed:hours_workplace,work_status_employed:hours_home,trust_gov,contact_older_people,subj_effect_measures,compliance_measures,subj_effect_behav_proven,subj_effect_behav_unproven,comply_curfew_self_yes,comply_curfew_self_no,comply_curfew_self_yes:comply_bc_civic,comply_curfew_self_yes:comply_bc_fear_punished,comply_curfew_self_yes:comply_bc_protect_self,comply_curfew_self_yes:comply_bc_protect_close,comply_curfew_self_yes:comply_bc_protect_all,comply_curfew_self_yes:comply_bc_high_risk,comply_curfew_self_no:disobey_bc_freedom,comply_curfew_self_no:disobey_bc_not_punish,comply_curfew_self_no:disobey_bc_unjustified,comply_curfew_self_no:disobey_bc_obligations,comply_curfew_self_no:disobey_bc_ineffective,comply_curfew_self_no:disobey_bc_unaffected,comply_curfew_self_no:disobey_bc_bored,n_contacts_personal,n_contacts_distanced,change_contacts_personal,change_contacts_distanced,loneliness,approp_gov_medical,approp_gov_restrict_public_life,approp_gov_econ_mitigation,approp_gov_communication,health_comparison_6m,concerns,avoidance_determined,avoidance_determined:avoidance_score,age,hh_members,hh_children,location_urban,edu_4,net_income,civil_status_Married,civil_status_Divorced,civil_status_Widow or widower,civil_status_Separated,profession_higher_academic,profession_higher_supervisory,profession_intermediate_academic,profession_intermediate_supervisory,profession_other_mental,profession_semiskilled_manual_work,profession_skilled_manual,profession_unskilled_manual_work,gender_male,"origin_First generation foreign, Western background","origin_First generation foreign, non-western background","origin_Second generation foreign, Western background","origin_Second generation foreign, non-western background",news_interest,political_interest,parties_not_care,ppl_no_influence,politically_able,understand_pol_issues,how_rightwing
800659,100.0,100.0,30.0,40.0,70.0,70.0,1,1,5,1,5,5,5,5,100.0,0,0,1,0,0,1,0,9,19,0.0,0.0,4.0,3.0,29.0,3.0,21.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,12.0,1.0,2.6666666666666665,80.0,2.0,0.0,1.0,3.0,1960.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,6.0
800671,90.0,90.0,40.0,30.0,80.0,50.0,2,2,5,2,4,4,4,4,100.0,0,0,1,0,0,1,0,11,17,0.0,0.0,4.0,1.0,28.0,3.0,19.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,25.0,1.0,4.0,-3.0,3.0,3.0,3.0,3.0,3.0,16.0,1.0,2.5,67.0,2.0,0.0,2.0,3.0,2200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0
800677,100.0,100.0,5.0,15.0,0.0,3.0,1,1,5,2,5,5,5,1,100.0,0,0,0,1,0,1,0,9,7,0.0,0.0,5.0,1.0,28.0,4.0,18.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,1.0,3.0,-6.0,3.0,3.0,2.0,3.0,2.0,12.0,1.0,1.0,23.0,5.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,5.0
800695,100.0,100.0,50.0,50.0,70.0,60.0,2,1,5,2,5,5,5,5,100.0,0,0,1,0,0,1,0,11,22,0.0,0.0,4.0,1.0,32.0,3.0,23.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,19.0,1.0,2.6666666666666665,78.0,1.0,0.0,4.0,2.0,1380.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,5.0
800701,99.0,99.0,20.0,80.0,2.0,15.0,2,2,3,3,4,5,5,2,99.0,0,1,0,0,0,1,0,9,19,8.0,28.0,5.0,1.0,30.0,5.0,23.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,1.0,5.0,-3.0,3.0,3.0,3.0,3.0,2.0,18.0,1.0,2.0,40.0,2.0,0.0,5.0,4.0,3620.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0
800775,100.0,100.0,90.0,100.0,10.0,90.0,2,1,5,1,5,5,5,3,100.0,0,1,0,0,0,1,0,11,19,0.0,36.0,3.0,1.0,34.0,4.0,14.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,30.0,1.0,5.0,-5.0,3.0,4.0,3.0,3.0,3.0,19.0,1.0,1.0,50.0,5.0,3.0,1.0,4.0,2900.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,2.0
800778,25.0,100.0,15.0,25.0,10.0,10.0,2,1,5,2,3,4,4,3,100.0,0,1,0,0,0,1,0,9,12,5.0,12.0,3.0,5.0,31.0,4.0,21.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,1.0,3.0,0.0,3.0,3.0,3.0,3.0,2.0,13.0,1.0,2.6666666666666665,59.0,1.0,0.0,1.0,4.0,1400.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0
800881,100.0,100.0,5.0,20.0,40.0,5.0,2,2,5,2,4,5,5,4,100.0,0,0,1,0,0,1,0,10,15,0.0,0.0,5.0,3.0,35.0,3.0,22.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,11.0,0.0,0.0,80.0,1.0,0.0,1.0,2.0,1920.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,5.0
800909,100.0,100.0,30.0,75.0,10.0,20.0,3,4,3,4,3,5,5,3,100.0,0,0,0,0,1,1,0,7,18,0.0,0.0,4.0,3.0,32.0,4.0,21.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,1.0,4.0,-2.0,3.0,3.0,3.0,3.0,2.0,14.0,1.0,0.6666666666666666,41.0,4.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
801004,10.0,50.0,50.0,50.0,50.0,50.0,1,1,5,1,5,3,3,3,100.0,0,1,0,0,0,1,0,11,23,33.0,0.0,4.0,1.0,33.0,3.0,20.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,3.0,-6.0,3.0,2.0,3.0,3.0,3.0,12.0,1.0,3.0,58.0,1.0,0.0,2.0,2.0,2375.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,5.0
801031,50.0,100.0,30.0,40.0,20.0,40.0,2,1,4,5,5,4,4,4,50.0,0,1,0,0,0,1,0,9,16,33.0,0.0,3.0,1.0,30.0,3.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,3.0,-5.0,3.0,3.0,3.0,3.0,3.0,19.0,1.0,0.6666666666666666,47.0,4.0,2.0,3.0,3.0,3000.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0
801055,100.0,100.0,50.0,50.0,10.0,50.0,2,1,5,2,5,5,5,3,100.0,0,1,0,0,0,1,0,8,16,30.0,0.0,4.0,2.0,34.0,3.0,20.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,20.0,1.0,4.0,-4.0,3.0,2.0,3.0,3.0,3.0,17.0,1.0,0.6666666666666666,56.0,2.0,0.0,5.0,3.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,6.0
801068,100.0,100.0,50.0,50.0,10.0,25.0,1,1,5,2,5,5,4,3,100.0,0,1,0,0,0,1,0,10,16,40.0,0.0,3.0,5.0,25.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,75.0,1.0,5.0,-6.0,3.0,3.0,3.0,3.0,3.0,11.0,1.0,2.0,43.0,4.0,2.0,2.0,4.0,1235.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0
801132,40.0,70.0,50.0,50.0,50.0,70.0,2,2,4,2,3,3,3,3,100.0,0,0,1,0,0,1,0,15,18,0.0,0.0,3.0,5.0,24.0,3.0,19.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,7.0,0.0,0.0,65.0,2.0,0.0,1.0,3.0,500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
801141,100.0,75.0,75.0,75.0,100.0,75.0,2,1,4,1,5,4,4,5,70.0,0,0,1,0,0,1,0,9,21,0.0,0.0,4.0,1.0,34.0,4.0,23.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,5.0,3.0,-2.0,3.0,3.0,3.0,3.0,2.0,16.0,1.0,3.0,79.0,2.0,0.0,3.0,2.0,1567.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,6.0
801144,10.0,25.0,25.0,25.0,25.0,25.0,1,1,6,1,5,3,3,2,100.0,0,1,0,0,0,1,0,5,14,0.0,36.0,5.0,1.0,25.0,4.0,21.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,8.0,2.0,3.0,-6.0,4.0,4.0,1.0,3.0,3.0,18.0,1.0,0.0,52.0,1.0,0.0,5.0,4.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,1.0,5.0
801165,100.0,100.0,30.0,50.0,30.0,30.0,3,3,3,3,3,5,5,5,100.0,0,0,1,0,0,1,0,12,16,0.0,0.0,3.0,3.0,30.0,3.0,19.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,3.0,-3.0,2.0,3.0,2.0,3.0,2.0,19.0,1.0,2.3333333333333335,77.0,1.0,0.0,5.0,3.0,1350.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0
801174,70.0,50.0,30.0,50.0,30.0,40.0,1,1,5,1,5,4,4,3,100.0,0,0,1,0,0,1,0,10,14,0.0,0.0,4.0,1.0,32.0,3.0,20.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,3.0,4.0,-6.0,3.0,3.0,3.0,3.0,3.0,15.0,1.0,2.6666666666666665,69.0,2.0,0.0,3.0,2.0,1700.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,6.0
801287,100.0,100.0,10.0,25.0,5.0,10.0,3,1,4,3,4,5,4,3,100.0,0,1,0,0,0,1,0,9,11,6.0,24.0,5.0,1.0,31.0,4.0,22.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,1.0,4.0,-5.0,3.0,3.0,3.0,3.0,3.0,13.0,1.0,2.0,64.0,2.0,0.0,1.0,3.0,2350.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,7.0
801300,100.0,100.0,90.0,100.0,10.0,30.0,2,1,5,1,5,5,5,3,50.0,0,1,0,0,0,1,0,10,21,40.0,0.0,3.0,3.0,30.0,4.0,17.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,160.0,2.0,5.0,-6.0,3.0,2.0,4.0,3.0,3.0,9.0,1.0,2.0,50.0,4.0,2.0,2.0,4.0,7500.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,8.0
801330,100.0,100.0,40.0,60.0,50.0,80.0,3,2,4,3,5,5,5,5,100.0,0,0,1,0,0,1,0,10,26,0.0,0.0,4.0,3.0,28.0,3.0,23.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,5.0,-4.0,3.0,2.0,3.0,3.0,3.0,16.0,1.0,3.0,77.0,2.0,0.0,4.0,3.0,1180.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,9.0
801498,100.0,100.0,20.0,20.0,40.0,20.0,1,1,5,1,4,5,4,3,80.0,0,0,1,0,0,1,0,9,17,0.0,0.0,4.0,2.0,23.0,3.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,4.0,-2.0,3.0,3.0,3.0,3.0,3.0,14.0,1.0,1.0,72.0,3.0,1.0,2.0,3.0,2000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0
801535,100.0,100.0,75.0,80.0,10.0,85.0,2,1,6,1,4,5,5,4,100.0,0,1,0,0,0,1,0,15,29,36.0,0.0,2.0,2.0,35.0,5.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,1.0,4.0,-5.0,1.0,1.0,5.0,1.0,3.0,18.0,1.0,3.0,24.0,3.0,2.0,3.0,4.0,1475.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0
801556,0.0,50.0,50.0,50.0,90.0,70.0,2,1,4,2,5,2,1,5,100.0,0,0,1,0,0,1,0,11,16,0.0,0.0,5.0,2.0,33.0,3.0,23.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,17.0,0.0,0.0,86.0,2.0,0.0,4.0,1.0,803.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,6.0
801577,50.0,100.0,40.0,40.0,0.0,40.0,1,1,5,1,6,4,4,3,100.0,0,1,0,0,0,1,0,11,15,40.0,0.0,4.0,3.0,18.0,3.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,3.0,-6.0,3.0,3.0,3.0,3.0,3.0,13.0,1.0,3.0,49.0,4.0,2.0,2.0,2.0,2000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,8.0
801599,100.0,100.0,20.0,70.0,50.0,10.0,2,2,4,2,3,4,4,2,100.0,0,0,1,0,0,1,0,8,10,0.0,0.0,2.0,3.0,27.0,2.0,19.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,3.0,-2.0,3.0,4.0,1.0,3.0,3.0,10.0,1.0,1.0,69.0,1.0,0.0,4.0,4.0,1800.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,5.0
